,Date,Class Schedule,School Wide Event,Calc 2 Schedule,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,"Wednesday, November 22, 2023",11.7 Strategies,4,11.7 Strategies,
,"Wednesday, November 22, 2023",Thanksgiving Break,Thanksgiving Break,,
,"Thursday, November 23, 2023",Thanksgiving Break,Thanksgiving Break,,
,"Friday, November 24, 2023",Thanksgiving Break,Thanksgiving Break,,
,"Monday, November 27, 2023",Exam 3 Review,2,Exam 3 Review,tests of converging
,"Wednesday, November 29, 2023",Exam 3 Review,4,EXAM 3,
,"Thursday, November 30, 2023",Q & A / Extra Credit 11:20 - 12:20,,,
,"Friday, December 1, 2023",EXAM 3,6,Final Review,
,"Monday, December 4, 2023",Final Review,2,Final Review,
i added an additional day of review since final exam week is next week,"Wednesday, December 6, 2023",Final Review,4,Final Review,
,"Thursday, December 7, 2023",Q & A / Extra Credit 11:20 - 12:20,,,
,"Monday, December 11, 2023",FINAL EXAM,2,FINAL EXAM,
